Bore.ID,Easting,Northing,Latitude,Longitude,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity
GW400548,595812,6174131,-34.5701,148.0445,10/02/2016,1.55,15.5,375,2.141957,6.05646,0,Qa,12.6,4540
GW400129,583489,6164991,-34.6536,147.9111,10/02/2016,NA,2.92,447,2.160147,6.728999,3,Sfv,19.3,NA
GW400130,583475,6164979,-34.6537,147.9109,10/02/2016,0,13.35,447,2.694556,6.688941,3,Sfv,19.3,5716
Dinyah_shallow,593219,6170802,-34.60038,148.01662,11/02/2016,2.86,5.02,344,0.663079,7.60262,5,Qa,16.1,8370
Dinyah_deep,593220,6170799,-34.60041,148.01663,11/02/2016,2.3,18.5,344,0.728016,7.308076,5,Qa,16.1,4923
Coolac,606506,6134134,-34.92968,148.16614,11/02/2016,4.42,15.1,239,0.587074,8.431359,4,Qa,33,2162
GW400251,599052,6170914,-34.5988,148.0802,10/02/2016,1.64,5,381,1.848508,6.019974,3,Sbs,15.1,2213
GW400253,599051,6170914,-34.5988,148.0802,10/02/2016,1.41,11.6,381,1.848508,6.019974,3,Sbs,15.1,2204
GW400255,598686,6169984,-34.6072,148.0763,10/02/2016,1.8,13.6,370,2.102657,6.563342,3,Sbs,15.1,2477
GW400256,598685,6169984,-34.6072,148.0763,10/02/2016,1.58,5,370,2.102657,6.563342,3,Sbs,15.1,2493
Dinyah_Hopes 7: Deep,592343,6173867.516,-34.57282,148.00674,10/02/2016,0.06,16.56,362,1.020261,7.054324,3,Qa,12.9,4016
Dinyah_Hopes 7: shallow,592269,6173718.531,-34.57417,148.00595,10/02/2016,1.91,6.02,364,2.064191,6.02339,2,Qa,12.9,7980
Dinyah_Lane way,592937,6172178.021,-34.588,148.0134,10/02/2016,3.42,8.27,350,0.309164,8.446316,4,Qa,16.1,554
Dinayh _Near house,593085,6171843.816,-34.591,148.01505,10/02/2016,2.72,8.39,349,0.80547,7.089855,5,Qa,16.1,4366
