Bore.ID,Easting,Northing,Latitude,Longitude,Date,SWL,Drilled.Depth..m.,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Mrainfall.mm.,Salinity
Coolac,606506,6134134,-34.92968,148.16614,23/05/2014,4.51,15.1,239,0.587074,8.431359,4,Qa,13.1,1690
GW400559,597735,6146023,-34.8243,148.0728,21/07/2014,3.54,8,304,1.24355,6.647909,3,Sbs,35.1,4833
GW400560,597927,6145945,-34.8241,148.0708,22/07/2014,2.64,14,304,0.502662,9.297188,4,Sws,82.9,5730
GW400563,596874,6150629,-34.7819,148.0588,22/07/2014,1.9,14,313,1.457451,6.715132,3,Sbs,35.2,6690
GW400564,596533,6150302,-34.7849,148.0551,22/07/2014,2.54,16.5,325,2.200544,6.574702,2,Dcc,44.7,13942
GW400552,604835,6154803,-34.7435,148.1453,21/07/2014,0.17,8,417,5.93511,5.478523,1,Cj,67.4,2326
GW400555,604940,6155155,-34.7403,148.1464,21/07/2014,2.62,10.5,421,2.718057,6.011496,2,Cj,25.6,810
GW400550,595537,6174223,-34.5693,148.0415,23/07/2014,0,17,370,0.929375,6.87526,3,Sbs,42.4,3242
GW400551,595384,6174190,-34.5696,148.0398,23/07/2014,1.39,4,371,2.004911,5.878403,2,Sbs,67.4,2645
GW400548,595812,6174131,-34.5701,148.0445,23/07/2014,0.55,15.5,375,2.141957,6.05646,0,Qa,25.6,4623
GW400130,583475,6164979,-34.6537,147.9109,22/07/2014,0,13.35,447,2.694556,6.688941,3,Sfv,42.4,5436
Dinyah_shallow,593219,6170802,-34.60038,148.01662,23/07/2014,2.26,5.02,344,0.663079,7.60262,5,Qa,71.7,12067
Dinyah_deep,593220,6170799,-34.60041,148.01663,23/07/2014,1.91,18.5,344,0.728016,7.308076,5,Qa,35.6,4804
Coolac,606506,6134134,-34.92968,148.16614,21/07/2014,4.09,15.1,239,0.587074,8.431359,4,Qa,46.5,2100
GW400129,583489,6164991,-34.6536,147.9111,22/07/2014,0.14,2.92,447,2.160147,6.728999,3,Sfv,71.7,2296
GW400561,597735,6146023,-34.8234,148.0687,29/09/2014,3.46,8,304,1.24355,6.647909,3,Sbs,35.6,5043
GW400560,597927,6145945,-34.8241,148.0708,29/09/2014,2.55,14,304,0.502662,9.297188,4,Sws,46.5,5481
GW400563,596874,6150629,-34.7819,148.0588,30/09/2014,1.62,14,313,1.457451,6.715132,3,Sbs,42.4,6555
GW400564,596533,6150302,-34.7849,148.0551,30/09/2014,2.53,16.5,325,2.200544,6.574702,2,Dcc,42.4,13457
GW400552,604835,6154803,-34.7435,148.1453,29/09/2014,0.37,8,417,5.93511,5.478523,1,Cj,69.3,2378
GW400555,604940,6155155,-34.7403,148.1464,29/09/2014,3.94,10.5,421,2.718057,6.011496,2,Cj,69.3,1129
GW400550,595537,6174223,-34.5693,148.0415,30/09/2014,0,17,370,0.929375,6.87526,3,Sbs,69.3,2761
GW400551,595384,6174190,-34.5696,148.0398,30/09/2014,1.5,4,371,2.004911,5.878403,2,Sbs,69.3,2594
GW400548,595812,6174131,-34.5701,148.0445,30/09/2014,0.54,15.5,375,2.141957,6.05646,0,Qa,69.3,4481
GW400130,583475,6164979,-34.6537,147.9109,30/09/2014,0,13.35,447,2.694556,6.688941,3,Sfv,79.2,5499
Dinyah_shallow,593219,6170802,-34.60038,148.01662,30/09/2014,2.12,5.02,344,0.663079,7.60262,5,Qa,15.4,11242
Dinyah_deep,593220,6170799,-34.60041,148.01663,30/09/2014,1.85,18.5,344,0.728016,7.308076,5,Qa,22.7,4632
Coolac,606506,6134134,-34.92968,148.16614,1/10/2014,4.28,15.1,239,0.587074,8.431359,4,Qa,16.8,1812
GW400129,583489,6164991,-34.6536,147.9111,30/09/2014,0.99,2.92,447,2.160147,6.728999,3,Sfv,37,5289
GW400561,597735,6146023,-34.8234,148.0687,5/02/2015,3.61,8,304,1.24355,6.647909,3,Sbs,110.7,5241
GW400560,597927,6145945,-34.8241,148.0708,5/02/2015,2.85,14,304,0.502662,9.297188,4,Sws,38.8,5866
GW400563,596874,6150629,-34.7819,148.0588,5/02/2015,1.88,14,313,1.457451,6.715132,3,Sbs,37,6833
GW400564,596533,6150302,-34.7849,148.0551,5/02/2015,2.73,16.5,325,2.200544,6.574702,2,Dcc,69.3,13982
GW400552,604835,6154803,-34.7435,148.1453,4/02/2015,1.02,8,417,5.93511,5.478523,1,Cj,79.2,2331
GW400555,604940,6155155,-34.7403,148.1464,4/02/2015,4.62,10.5,421,2.718057,6.011496,2,Cj,15.4,1320
GW400550,595537,6174223,-34.5693,148.0415,6/02/2015,0,17,370,0.929375,6.87526,3,Sbs,22.7,3379
GW400551,595384,6174190,-34.5696,148.0398,6/02/2015,1.85,4,371,2.004911,5.878403,2,Sbs,16.8,2736
GW400548,595812,6174131,-34.5701,148.0445,6/02/2015,1.14,15.5,375,2.141957,6.05646,0,Qa,37,4535
GW400130,583475,6164979,-34.6537,147.9109,5/02/2015,0.005,13.35,447,2.694556,6.688941,3,Sfv,110.7,5791
Dinyah_shallow,593219,6170802,-34.60038,148.01662,6/02/2015,2.77,5.02,344,0.663079,7.60262,5,Qa,38.8,10525
Dinyah_deep,593220,6170799,-34.60041,148.01663,6/02/2015,2.46,18.5,344,0.728016,7.308076,5,Qa,37,4884
Coolac,606506,6134134,-34.92968,148.16614,4/02/2015,4.7,15.1,239,0.587074,8.431359,4,Qa,61.2,2089
GW400251,599052,6170914,-34.5988,148.0802,5/02/2015,1.71,5,381,1.848508,6.019974,3,Sbs,20.3,2179
GW400253,599051,6170914,-34.5988,148.0802,5/02/2015,1.69,11.6,381,1.848508,6.019974,3,Sbs,19.6,1559
GW400255,598686,6169984,-34.6072,148.0763,5/02/2015,1.25,13.6,370,2.102657,6.563342,3,Sbs,33.8,2246
GW400256,598685,6169984,-34.6072,148.0763,5/02/2015,1.58,5,370,2.102657,6.563342,3,Sbs,97,2700
GW400561,597735,6146023,-34.8234,148.0687,8/04/2015,3.85,8,304,1.24355,6.647909,3,Sbs,35,5662
GW400560,597927,6145945,-34.8241,148.0708,8/04/2015,2.96,14,304,0.502662,9.297188,4,Sws,32.6,6309
GW400563,596874,6150629,-34.7819,148.0588,8/04/2015,2.01,14,313,1.457451,6.715132,3,Sbs,61.2,7407
GW400564,596533,6150302,-34.7849,148.0551,8/04/2015,3.36,16.5,325,2.200544,6.574702,2,Dcc,20.3,9772
GW400552,604835,6154803,-34.7435,148.1453,7/04/2015,1.19,8,417,5.93511,5.478523,1,Cj,19.6,2503
GW400555,604940,6155155,-34.7403,148.1464,7/04/2015,4.89,10.5,421,2.718057,6.011496,2,Cj,33.8,1382
GW400550,595537,6174223,-34.5693,148.0415,9/04/2015,0,17,370,0.929375,6.87526,3,Sbs,97,3517
GW400551,595384,6174190,-34.5696,148.0398,9/04/2015,1.87,4,371,2.004911,5.878403,2,Sbs,35,2919
GW400548,595812,6174131,-34.5701,148.0445,9/04/2015,1.37,15.5,375,2.141957,6.05646,0,Qa,32.6,4939
GW400130,583475,6164979,-34.6537,147.9109,8/04/2015,0.205,13.35,447,2.694556,6.688941,3,Sfv,79.9,6231
Dinyah_shallow,593219,6170802,-34.60038,148.01662,9/04/2015,3.34,5.02,344,0.663079,7.60262,5,Qa,15,10646
