"","Bore.ID","Easting","Northing","Latitude","Longitude"
"1854","GW403500",593932,6166088,-34.6428,148.0249
"1855","GW403916",593954,6167508,-34.63,148.025
"1856","GW402710",594042,6167452,-34.6305,148.026
"1857","GW404755",594049,6167383,-34.6311,148.0261
"1858","GW066428",594102,6166171,-34.6421,148.0268
"1870","GW066399",594102,6166171,-34.6421,148.0268
"1882","GW066435",594102,6166171,-34.6421,148.0268
"1894","GW066393",594102,6166171,-34.6421,148.0268
"1906","GW066402",594102,6166171,-34.6421,148.0268
"1918","GW066404",594102,6166171,-34.6421,148.0268
"1930","GW066419",594102,6166171,-34.6421,148.0268
"1942","GW066390",594102,6166171,-34.6421,148.0268
"1954","GW066392",594102,6166171,-34.6421,148.0268
"1966","GW403705",594190,6167594,-34.6292,148.0276
"1967","GW401630",594313,6175284,-34.5599,148.0281
"1968","GW401660",594245,6167648,-34.6287,148.0282
"1969","GW401355",594263,6166434,-34.6397,148.0285
"1970","GW400715",594233,6162828,-34.6722,148.0286
"1971","GW403096",594294,6167531,-34.6298,148.0287
"1972","GW402822",594284,6166328,-34.6406,148.0287
"1973","GW402711",594286,6166358,-34.6404,148.0288
"1974","GW400842",594331,6170150,-34.6062,148.0288
"1975","GW404077",594235,6160694,-34.6914,148.0288
"1976","GW404727",594352,6169327,-34.6136,148.0291
"1977","GW400960",594317,6164752,-34.6548,148.0293
"1978","GW402816",594374,6166903,-34.6354,148.0296
"1979","GW402803",594429,6166929,-34.6352,148.0302
"1980","GW401098",594513,6173584,-34.5752,148.0304
"1981","GW403458",594487,6167285,-34.632,148.0308
"1982","GW403454",594480,6165563,-34.6475,148.031
"1983","GW403230",594507,6166716,-34.6371,148.0311
"1984","GW401337",594513,6167109,-34.6336,148.0311
"1985","GW403430",594580,6166529,-34.6388,148.0319
"1986","GW403429",594583,6166532,-34.6388,148.032
"1989","GW403431",594584,6166526,-34.6388,148.032
"1992","GW403428",594586,6166536,-34.6387,148.032
"1993","GW403432",594588,6166522,-34.6388,148.032
"1996","GW403426",594595,6166530,-34.6388,148.0321
"1997","GW403433",594595,6166514,-34.6389,148.0321
"1998","GW400804",594590,6165620,-34.647,148.0321
"1999","GW403434",594602,6166508,-34.639,148.0322
"2000","GW403424",594603,6166548,-34.6386,148.0322
"2001","GW403435",594611,6166501,-34.639,148.0323
"2002","GW403427",594613,6166524,-34.6388,148.0323
"2003","GW403436",594619,6166509,-34.639,148.0324
"2004","GW409463",594614,6165957,-34.6439,148.0324
"2005","GW402678",594619,6166177,-34.642,148.0324
"2006","GW403425",594633,6166527,-34.6388,148.0325
"2007","GW031461",594759,6173158,-34.579,148.0332
"2008","GW401339",594738,6165634,-34.6468,148.0338
"2009","GW403924",594766,6167267,-34.6321,148.0339
"2010","GW403386",594770,6165916,-34.6443,148.0341
"2011","GW066441",594784,6165609,-34.6471,148.0343
"2012","GW402645",594815,6160521,-34.6929,148.0352
"2013","GW402800",594904,6166058,-34.643,148.0355
"2014","GW402069",594907,6166005,-34.6435,148.0356
"2015","GW401788",594913,6156284,-34.7311,148.0367
"2016","GW403904",595053,6164184,-34.6599,148.0374
"2017","GW404229",595117,6165848,-34.6449,148.0379
"2018","GW404228",595142,6165897,-34.6444,148.0381
"2019","GW403914",595154,6166912,-34.6353,148.0382
"2020","GW404214",595192,6165864,-34.6447,148.0387
"2021","GW403866",595208,6165933,-34.6441,148.0389
"2022","GW400411",595260,6167330,-34.6315,148.0393
"2023","GW404240",595266,6165861,-34.6447,148.0395
"2024","GW402431",595322,6166572,-34.6383,148.04
"2025","GW409942",595340,6166037,-34.6432,148.0403
"2026","GW404219",595372,6165983,-34.6436,148.0406
"2027","GW403461",595460,6167257,-34.6321,148.0415
"2028","GW400778",595413,6157434,-34.7207,148.042
"2029","GW403906",595523,6166468,-34.6392,148.0422
"2030","GW401316",595588,6166659,-34.6375,148.0429
"2031","GW401345",595613,6166534,-34.6386,148.0432
"2032","GW066429",595652,6165847,-34.6448,148.0437
"2033","GW402605",595732,6171250,-34.5961,148.044
"2034","GW402714",595840,6178588,-34.5299,148.0443
"2035","GW403306",595806,6165840,-34.6449,148.0454
"2036","GW403915",595803,6164837,-34.6539,148.0455
"2037","GW068542",595756,6156863,-34.7258,148.0459
"2038","GW401627",595913,6167684,-34.6282,148.0463
"2039","GW403918",595987,6165007,-34.6524,148.0475
"2040","GW401768",596213,6167984,-34.6255,148.0496
"2041","GW066438",596252,6164793,-34.6543,148.0504
"2042","GW400564",596533,6150302,-34.7849,148.0551
"2043","GW066369",596362,6131580,-34.9537,148.0554
"2044","GW401064",596813,6166984,-34.6345,148.0562
"2045","GW400740",596723,6153393,-34.757,148.0568
"2046","GW405081",596888,6168211,-34.6234,148.0569
"2047","GW400563",596874,6150629,-34.7819,148.0588
"2048","GW400737",597027,6162883,-34.6714,148.059
"2049","GW400562",596960,6150897,-34.7795,148.0597
"2050","GW400184",597607,6175007,-34.5621,148.064
"2051","GW400182",597495,6164349,-34.6582,148.064
"2052","GW400185",597709,6165302,-34.6496,148.0662
"2053","GW404213",597656,6144600,-34.8362,148.068
"2054","GW400561",597735,6146023,-34.8234,148.0687
"2055","GW400560",597927,6145945,-34.8241,148.0708
"2056","GW404963",598338,6169294,-34.6135,148.0726
"2057","GW400559",598104,6145911,-34.8243,148.0728
"2058","GW400558",598330,6146517,-34.8189,148.0752
"2059","GW401886",598720,6171267,-34.5957,148.0765
"2060","GW409453",599248,6157541,-34.7194,148.0839
"2061","GW402990",599045,6135125,-34.9215,148.0844
"2062","GW402760",599959,6164965,-34.6524,148.0908
"2063","GW401330",599987,6140284,-34.8749,148.094
"2064","GW402763",602036,6129200,-34.9746,148.1178
"2065","GW411255",602811,6152527,-34.7642,148.1234
"2066","GW414319",602965,6156657,-34.727,148.1246
"2067","GW068861",603180,6166802,-34.6355,148.1257
"2068","GW401331",603012,6139734,-34.8796,148.1272
"2069","GW401889",603698,6167964,-34.625,148.1312
"2070","GW403920",603391,6137893,-34.8961,148.1316
"2071","GW400554",604595,6154889,-34.7428,148.1426
"2072","GW400556",604643,6154741,-34.7441,148.1432
"2073","GW400557",604786,6154586,-34.7455,148.1448
"2074","GW400552",604835,6154803,-34.7435,148.1453
"2075","GW400555",604940,6155155,-34.7403,148.1464
"2076","GW401858",605141,6150802,-34.7795,148.1491
"2077","GW403155",606397,6134569,-34.9258,148.1649
"2078","GW405121",606455,6134500,-34.9264,148.1655
"2079","GW056802",606592,6132237,-34.9468,148.1673
"2080","GW401866",607122,6129974,-34.9671,148.1734
"2081","GW400415",607313,6137497,-34.8993,148.1745
"2082","GW404058",607546,6134990,-34.9219,148.1774
"2083","GW402900",611690,6138803,-34.887,148.2223
"2084","GW400559",597735,6146023,-34.8243,148.0728
"2093","GW400130",583475,6164979,-34.6537,147.9109
"2094","Coolac",606506,6134134,-34.92968,148.16614
"2105","Dinyah_shallow",593219,6170802,-34.60038,148.01662
"2106","Dinyah_deep",593220,6170799,-34.60041,148.01663
"2147","GW400129",583489,6164991,-34.6536,147.9111
"2196","Dinyah_Hopes 7: Deep",592343,6173867.516,-34.57282,148.00674
"2197","Dinyah_Hopes 7: shallow",592269,6173718.531,-34.57417,148.00595
"2198","Dinyah_Lane way",592937,6172178.021,-34.588,148.0134
"2199","Dinayh _Near house",593085,6171843.816,-34.591,148.01505
