Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Elevation,Slope__deg,Wetness_in,MRVBF,Lithology,Drilled_De,Salinity
GW007110,1/11/1996,0,587955,147.9595,-34.6296,6167618,388,0.393044,8.95891,3,9,20.7,NA
GW007115,1/11/1996,0,585984,147.9382,-34.6393,6166558,409,1.83784,6.5029502,3,9,30.8,NA
GW007530,8/07/1998,2.2,598029,148.0687,-34.5718,6173924,419,2.54354,5.6463599,2,7,19.8,NA
GW007531,20/04/2004,2.75,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,20/03/2002,1.56,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,28/10/2003,1.34,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,24/10/2006,2.58,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,23/10/2001,0.8,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,3/04/2001,1.03,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,16/10/2002,1.05,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,20/10/2004,1.9,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,15/04/2003,13.2,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,12/04/2005,2.97,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,11/04/2006,2.62,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW007531,18/10/2005,1.3,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,7,33.2,NA
GW011826,25/11/1996,2,587862,147.9618,-34.9087,6136657,482,1.66509,6.9900999,3,35,0,NA
GW014595,19/05/1983,3.63,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,16/02/1979,3.97,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,18/02/1983,5.18,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,19/03/1982,4.27,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,19/02/1985,1.1,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,19/02/1981,5.29,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,18/10/1983,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,19/05/1980,5.37,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,17/09/1979,4.67,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,17/06/1981,5.65,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,17/01/1980,5.02,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,19/06/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,16/07/1979,4.58,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,24/04/1984,0.74,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,16/02/1978,4.83,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,15/10/1984,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,15/09/1981,2.24,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,15/02/1974,7.41,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,16/10/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,27/05/1981,5.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,13/01/1981,4.99,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,15/01/1999,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,31/10/1974,0.47,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,29/08/1989,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,29/08/1980,5.24,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,29/06/1982,4.51,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,29/05/1984,0.87,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,23/07/1984,0.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,28/09/1982,4.63,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,20/04/1982,4.28,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,26/03/1981,5.49,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,26/02/1980,5.18,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,25/11/1987,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,25/05/1982,4.42,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,24/03/1987,0.75,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,23/07/1982,4.54,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,22/09/1980,5.3,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,21/12/1977,4.52,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,29/01/1982,3.94,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,14/12/1982,4.93,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,8/07/1980,5.34,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,6/11/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,6/08/1979,4.57,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,5/10/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,5/05/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,4/10/1985,1.4,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,4/04/1979,4.25,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,8/11/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,3/12/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,3/01/1975,1.77,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,2/12/1980,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,13/04/1978,5.13,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,1/12/1981,3.31,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,1/12/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,1/11/1982,4.77,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,1/09/1982,4.61,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,1/06/1979,4.46,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,1/05/1979,4.35,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,4/01/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,13/08/1987,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,2/08/1985,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,9/01/1984,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,14/09/1978,1.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,14/04/1980,5.31,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,13/10/1981,2.56,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,13/08/1981,2.23,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,13/05/1974,6.5,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,13/02/1975,1.69,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
GW014595,10/08/1978,5.12,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,13.1,NA
