FID,FID_,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Elevation,Slope__deg,Wetness_in,MRVBF,Lithology,Drilled_De,Salinity,RASTERVALU
0,0,GW007110,,0.000000000000000,587955,147.959499999999990,-34.629600000000003,6167618,388,0.393044000000000,8.958910000000000,3,9,20.699999999999999,NA,9
1,1,GW007115,,0.000000000000000,585984,147.938199999999990,-34.639299999999999,6166558,409,1.837840000000000,6.502950200000000,3,9,30.800000000000001,NA,9
2,2,GW007530,,2.200000000000000,598029,148.068700000000010,-34.571800000000003,6173924,419,2.543540000000000,5.646359900000000,2,7,19.800000000000001,NA,7
3,3,GW007531,,2.750000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
4,4,GW007531,,1.560000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
5,5,GW007531,,1.340000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
6,6,GW007531,,2.580000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
7,7,GW007531,,0.800000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
8,8,GW007531,,1.030000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
9,9,GW007531,,1.050000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
10,10,GW007531,,1.900000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
11,11,GW007531,,13.199999999999999,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
12,12,GW007531,,2.970000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
13,13,GW007531,,2.620000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
14,14,GW007531,,1.300000000000000,598793,148.077300000000010,-34.593699999999998,6171483,395,3.184010000000000,5.730790100000000,2,7,33.200000000000003,NA,7
15,15,GW011826,,2.000000000000000,587862,147.961800000000010,-34.908700000000003,6136657,482,1.665090000000000,6.990099900000000,3,35,0.000000000000000,NA,35
16,16,GW014595,,3.630000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
17,17,GW014595,,3.970000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
18,18,GW014595,,5.180000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
19,19,GW014595,,4.270000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
20,20,GW014595,,1.100000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
21,21,GW014595,,5.290000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
22,22,GW014595,,0.000000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
23,23,GW014595,,5.370000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
24,24,GW014595,,4.670000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
25,25,GW014595,,5.650000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
26,26,GW014595,,5.020000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
27,27,GW014595,,0.000000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
28,28,GW014595,,4.580000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
29,29,GW014595,,0.740000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
30,30,GW014595,,4.830000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
31,31,GW014595,,0.000000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
32,32,GW014595,,2.240000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
33,33,GW014595,,7.410000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
34,34,GW014595,,0.000000000000000,598939,148.080400000000000,-34.706800000000001,6158942,320,0.739595000000000,7.925570000000000,4,1,13.100000000000000,NA,1
