FID,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Drilled.Depth,Salinity
0,GW007110,1/11/1996,0,587955,147.9595,-34.6296,6167618,388,0.393044,8.95891,3,Sfv,20.7,NA
1,GW007115,1/11/1996,0,585984,147.9382,-34.6393,6166558,409,1.83784,6.5029502,3,Sfv,30.8,NA
2,GW007530,8/07/1998,2.2,598029,148.0687,-34.5718,6173924,419,2.54354,5.6463599,2,Sbs,19.8,NA
3,GW007531,20/04/2004,2.75,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
4,GW007531,20/03/2002,1.56,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
5,GW007531,28/10/2003,1.34,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
6,GW007531,24/10/2006,2.58,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
7,GW007531,23/10/2001,0.8,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
8,GW007531,3/04/2001,1.03,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
9,GW007531,16/10/2002,1.05,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
10,GW007531,20/10/2004,1.9,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
11,GW007531,15/04/2003,13.2,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
12,GW007531,12/04/2005,2.97,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
13,GW007531,11/04/2006,2.62,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
14,GW007531,18/10/2005,1.3,598793,148.0773,-34.5937,6171483,395,3.18401,5.7307901,2,Sbs,33.2,NA
15,GW011826,25/11/1996,2,587862,147.9618,-34.9087,6136657,482,1.66509,6.9900999,3,Qr/Sgmy,0,NA
16,GW014595,19/05/1983,3.63,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
17,GW014595,16/02/1979,3.97,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
18,GW014595,18/02/1983,5.18,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
19,GW014595,19/03/1982,4.27,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
20,GW014595,19/02/1985,1.1,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
21,GW014595,19/02/1981,5.29,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
22,GW014595,18/10/1983,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
23,GW014595,19/05/1980,5.37,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
24,GW014595,17/09/1979,4.67,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
25,GW014595,17/06/1981,5.65,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
26,GW014595,17/01/1980,5.02,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
27,GW014595,19/06/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
28,GW014595,16/07/1979,4.58,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
29,GW014595,24/04/1984,0.74,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
30,GW014595,16/02/1978,4.83,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
31,GW014595,15/10/1984,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
32,GW014595,15/09/1981,2.24,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
33,GW014595,15/02/1974,7.41,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
34,GW014595,16/10/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
35,GW014595,27/05/1981,5.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
36,GW014595,13/01/1981,4.99,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
37,GW014595,15/01/1999,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
38,GW014595,31/10/1974,0.47,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
39,GW014595,29/08/1989,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
40,GW014595,29/08/1980,5.24,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
41,GW014595,29/06/1982,4.51,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
42,GW014595,29/05/1984,0.87,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
43,GW014595,23/07/1984,0.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
44,GW014595,28/09/1982,4.63,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
45,GW014595,20/04/1982,4.28,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
46,GW014595,26/03/1981,5.49,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
47,GW014595,26/02/1980,5.18,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
48,GW014595,25/11/1987,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
49,GW014595,25/05/1982,4.42,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
50,GW014595,24/03/1987,0.75,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
51,GW014595,23/07/1982,4.54,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
52,GW014595,22/09/1980,5.3,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
53,GW014595,21/12/1977,4.52,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
54,GW014595,29/01/1982,3.94,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
55,GW014595,14/12/1982,4.93,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
56,GW014595,8/07/1980,5.34,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
57,GW014595,6/11/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
58,GW014595,6/08/1979,4.57,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
59,GW014595,5/10/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
60,GW014595,5/05/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
61,GW014595,4/10/1985,1.4,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
62,GW014595,4/04/1979,4.25,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
63,GW014595,8/11/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
64,GW014595,3/12/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
65,GW014595,3/01/1975,1.77,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
66,GW014595,2/12/1980,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
67,GW014595,13/04/1978,5.13,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
68,GW014595,1/12/1981,3.31,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
69,GW014595,1/12/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
70,GW014595,1/11/1982,4.77,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
71,GW014595,1/09/1982,4.61,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
72,GW014595,1/06/1979,4.46,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
73,GW014595,1/05/1979,4.35,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
74,GW014595,4/01/1979,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
75,GW014595,13/08/1987,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
76,GW014595,2/08/1985,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
77,GW014595,9/01/1984,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
78,GW014595,14/09/1978,1.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
79,GW014595,14/04/1980,5.31,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
80,GW014595,13/10/1981,2.56,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
81,GW014595,13/08/1981,2.23,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
82,GW014595,13/05/1974,6.5,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
83,GW014595,13/02/1975,1.69,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
84,GW014595,10/08/1978,5.12,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
85,GW014595,9/05/1985,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
86,GW014595,14/03/1978,5.03,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
87,GW014595,9/12/1974,1.25,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
88,GW014595,11/08/1983,3.07,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
89,GW014595,11/11/1980,5.41,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
90,GW014595,12/03/1974,7.45,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
91,GW014595,12/04/1983,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
92,GW014595,12/07/1978,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,Qa,13.1,NA
93,GW014742,1/11/1987,5.4,603490,148.1323,-34.8715,6140622,280,3.9421599,5.4379001,2,Cj,36.6,NA
94,GW020020,1/11/1987,7.8,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
95,GW020020,15/01/1999,3.9,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
96,GW020020,8/07/1998,1.8,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
97,GW020020,3/04/2001,0,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,Sbs,0,NA
98,GW020081,16/10/1979,6.41,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
99,GW020081,19/06/1978,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
100,GW020081,19/03/1991,3.11,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
101,GW020081,19/05/1980,6.75,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
102,GW020081,19/02/1985,3.67,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
103,GW020081,19/05/1983,6.6,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
104,GW020081,19/02/1981,6.74,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
105,GW020081,18/10/1983,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
106,GW020081,18/02/1983,6.54,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
107,GW020081,17/09/1979,6.38,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
108,GW020081,17/01/1980,6.65,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
109,GW020081,19/03/1982,6.29,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
110,GW020081,16/10/1975,7.11,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
111,GW020081,16/09/1975,7.2,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
112,GW020081,16/08/1989,1.32,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
113,GW020081,16/07/1979,6.37,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
114,GW020081,16/02/1979,6.33,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
115,GW020081,16/02/1978,6.59,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
116,GW020081,15/10/1984,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
117,GW020081,15/02/1974,10.11,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
118,GW020081,19/07/1988,3.24,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
119,GW020081,29/08/1980,6.62,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
120,GW020081,15/01/1999,3.1,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
121,GW020081,14/12/1982,6.37,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
122,GW020081,15/09/1981,6.34,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
123,GW020081,26/02/1980,6.74,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
124,GW020081,16/10/1990,1.67,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
125,GW020081,14/09/1978,6.58,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
126,GW020081,30/11/1988,3.3,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
127,GW020081,30/05/1991,3,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
128,GW020081,29/06/1982,6.21,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
129,GW020081,29/01/1982,6.2,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
130,GW020081,28/12/1990,2.48,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
131,GW020081,28/09/1982,6.23,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
132,GW020081,28/04/1988,3.59,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
133,GW020081,27/05/1981,6.83,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
134,GW020081,29/05/1984,4.61,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
135,GW020081,26/03/1981,6.82,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
136,GW020081,20/04/1982,6.22,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
137,GW020081,25/11/1987,2.57,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
138,GW020081,25/06/1974,9.3,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
139,GW020081,25/05/1982,6.21,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
140,GW020081,24/04/1984,4.65,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
141,GW020081,24/03/1987,2.73,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
142,GW020081,23/07/1984,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
143,GW020081,23/07/1982,6.18,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
144,GW020081,22/09/1980,6.62,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
145,GW020081,21/12/1977,6.4,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
146,GW020081,21/06/1989,1.17,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
147,GW020081,21/05/1975,7.53,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
148,GW020081,26/05/1990,2.57,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
149,GW020081,14/08/1975,7.47,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
150,GW020081,9/01/1984,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
151,GW020081,8/11/1978,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
152,GW020081,8/08/1974,8.9,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
153,GW020081,8/07/1980,6.65,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
154,GW020081,7/03/1988,3.35,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
155,GW020081,7/01/1976,6.98,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
156,GW020081,6/11/1979,6.46,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
157,GW020081,6/08/1979,6.33,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
158,GW020081,5/10/1978,6.45,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
159,GW020081,5/05/1978,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
160,GW020081,9/03/1990,2.8,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
161,GW020081,4/04/1979,6.41,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
162,GW020081,4/05/1989,1.38,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
163,GW020081,4/01/1979,6.23,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
164,GW020081,3/12/1979,6.54,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
165,GW020081,3/08/1990,1.42,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
166,GW020081,3/01/1975,8.17,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
167,GW020081,2/12/1980,6.72,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
168,GW020081,2/08/1985,3.58,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
169,GW020081,1/12/1981,6.07,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
170,GW020081,1/12/1978,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
171,GW020081,1/11/1982,6.28,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
172,GW020081,1/09/1982,6.21,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
173,GW020081,1/06/1979,6.39,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
174,GW020081,4/10/1985,3.41,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
175,GW020081,13/02/1975,7.7,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
176,GW020081,4/02/1977,6.4,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
177,GW020081,9/04/1975,7.66,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
178,GW020081,14/03/1978,6.7,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
179,GW020081,13/10/1981,6.19,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
180,GW020081,13/09/1988,2.92,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
181,GW020081,13/08/1987,2.1,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
182,GW020081,13/08/1981,6.55,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
183,GW020081,13/04/1978,6.73,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
184,GW020081,14/04/1980,6.75,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
185,GW020081,13/01/1981,6.75,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
186,GW020081,12/07/1978,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
187,GW020081,12/04/1983,6.56,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
188,GW020081,9/12/1974,7.9,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
189,GW020081,9/05/1985,0,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
190,GW020081,13/05/1974,9.9,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
191,GW020081,9/06/1975,7.5,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
192,GW020081,1/05/1979,6.38,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
193,GW020081,10/08/1978,6.63,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
194,GW020081,10/10/1989,1.67,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
195,GW020081,11/07/1974,9.2,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
196,GW020081,11/11/1980,6.68,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
197,GW020081,11/12/1989,2.27,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
198,GW020081,17/06/1981,6.84,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
199,GW020081,12/03/1974,10.2,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
200,GW020081,11/08/1983,6.13,599709,148.0887,-34.7009,6159581,325,0.327336,9.6672802,4,Qa,0,NA
201,GW020352,19/02/1985,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
202,GW020352,15/09/1981,4.65,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
203,GW020352,18/10/1983,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
204,GW020352,18/02/1983,6.15,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
205,GW020352,17/09/1979,5.62,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
206,GW020352,17/06/1981,6.6,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
207,GW020352,17/01/1980,5.92,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
208,GW020352,16/10/1979,5.7,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
209,GW020352,19/02/1981,6.38,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
210,GW020352,16/10/1975,4.5,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
211,GW020352,16/09/1975,4.4,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
212,GW020352,16/07/1979,5.64,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
213,GW020352,14/12/1982,6.05,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
214,GW020352,16/02/1978,5.89,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
215,GW020352,15/02/1974,8.9,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
216,GW020352,15/01/1999,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
217,GW020352,19/03/1982,5.51,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
218,GW020352,26/03/1981,6.41,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
219,GW020352,16/02/1979,5.19,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
220,GW020352,24/04/1984,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
221,GW020352,13/10/1981,4.53,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
222,GW020352,14/09/1978,5.54,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
223,GW020352,29/08/1980,6.3,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
224,GW020352,29/06/1982,5.49,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
225,GW020352,29/05/1984,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
226,GW020352,29/01/1982,5.3,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
227,GW020352,28/09/1982,6.66,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
228,GW020352,27/05/1981,6.5,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
229,GW020352,25/05/1982,5.59,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
230,GW020352,26/02/1980,6.05,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,Qa,0,NA
