FID,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Muttama_Mr,Slope,swi1,dem,Lithology1,Lithology_
68,GW014595,1/12/1981 0:00:00,3.310000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
69,GW014595,1/12/1978 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
70,GW014595,1/11/1982 0:00:00,4.770000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
71,GW014595,1/09/1982 0:00:00,4.610000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
72,GW014595,1/06/1979 0:00:00,4.460000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
73,GW014595,1/05/1979 0:00:00,4.350000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
74,GW014595,4/01/1979 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
75,GW014595,13/08/1987 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
76,GW014595,2/08/1985 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
77,GW014595,9/01/1984 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
78,GW014595,14/09/1978 0:00:00,1.600000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
79,GW014595,14/04/1980 0:00:00,5.310000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
80,GW014595,13/10/1981 0:00:00,2.560000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
81,GW014595,13/08/1981 0:00:00,2.230000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
82,GW014595,13/05/1974 0:00:00,6.500000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
83,GW014595,13/02/1975 0:00:00,1.690000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
84,GW014595,10/08/1978 0:00:00,5.120000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
85,GW014595,9/05/1985 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
86,GW014595,14/03/1978 0:00:00,5.030000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
87,GW014595,9/12/1974 0:00:00,1.250000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
88,GW014595,11/08/1983 0:00:00,3.070000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
89,GW014595,11/11/1980 0:00:00,5.410000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
90,GW014595,12/03/1974 0:00:00,7.450000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
91,GW014595,12/04/1983 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
92,GW014595,12/07/1978 0:00:00,0.000000000000000,598939.000000000000000,148.080400000000000,-34.706800000000001,6158942.000000000000000,4,0.7395950,7.9255700,320,1,1
93,GW014742,1/11/1987 0:00:00,5.400000000000000,603490.000000000000000,148.132299999999990,-34.871499999999997,6140622.000000000000000,2,3.9421599,5.4379001,280,3,3
94,GW020020,1/11/1987 0:00:00,7.800000000000000,599025.000000000000000,148.079800000000010,-34.591500000000003,6171727.000000000000000,3,1.1382800,7.9900498,393,7,7
95,GW020020,15/01/1999 0:00:00,3.900000000000000,599025.000000000000000,148.079800000000010,-34.591500000000003,6171727.000000000000000,3,1.1382800,7.9900498,393,7,7
96,GW020020,8/07/1998 0:00:00,1.800000000000000,599025.000000000000000,148.079800000000010,-34.591500000000003,6171727.000000000000000,3,1.1382800,7.9900498,393,7,7
97,GW020020,3/04/2001 0:00:00,0.000000000000000,599025.000000000000000,148.079800000000010,-34.591500000000003,6171727.000000000000000,3,1.1382800,7.9900498,393,7,7
98,GW020081,16/10/1979 0:00:00,6.410000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
99,GW020081,19/06/1978 0:00:00,0.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
100,GW020081,19/03/1991 0:00:00,3.110000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
101,GW020081,19/05/1980 0:00:00,6.750000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
102,GW020081,19/02/1985 0:00:00,3.670000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
103,GW020081,19/05/1983 0:00:00,6.600000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
104,GW020081,19/02/1981 0:00:00,6.740000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
105,GW020081,18/10/1983 0:00:00,0.000000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
106,GW020081,18/02/1983 0:00:00,6.540000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
107,GW020081,17/09/1979 0:00:00,6.380000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
108,GW020081,17/01/1980 0:00:00,6.650000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
109,GW020081,19/03/1982 0:00:00,6.290000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
110,GW020081,16/10/1975 0:00:00,7.110000000000000,599709.000000000000000,148.088699999999990,-34.700899999999997,6159581.000000000000000,4,0.3273360,9.6672802,325,1,1
