Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing,Drilled_De,Salinity,Elevation
GW404218,20/02/2008,6,593892,148.0244,-34.6325,6167230,33,1.6,NA
GW403500,18/12/2005,5,593932,148.0249,-34.6428,6166088,27,NA,NA
GW403916,18/02/2007,6,593954,148.025,-34.63,6167508,37,1.2,NA
GW402710,7/03/2004,4,594042,148.026,-34.6305,6167452,20,NA,0
GW404755,21/05/2008,8,594049,148.0261,-34.6311,6167383,28,1.9,NA
GW066428,20/02/1991,0,594102,148.0268,-34.6421,6166171,32,NA,340
GW066409,22/02/1991,0,594102,148.0268,-34.6421,6166171,NA,NA,340
GW066399,16/09/1991,0,594102,148.0268,-34.6421,6166171,30.5,NA,340
GW066435,12/03/1992,0,594102,148.0268,-34.6421,6166171,22,NA,340
GW066393,28/04/1989,0,594102,148.0268,-34.6421,6166171,24.4,NA,340
GW066402,20/03/1991,0,594102,148.0268,-34.6421,6166171,23.2,NA,340
GW066404,7/03/1991,0,594102,148.0268,-34.6421,6166171,27.5,NA,340
GW066406,22/02/1991,0,594102,148.0268,-34.6421,6166171,NA,NA,340
GW066419,26/03/1990,0,594102,148.0268,-34.6421,6166171,91.4,NA,340
GW066390,6/10/1989,0,594102,148.0268,-34.6421,6166171,21.4,NA,340
GW066422,20/03/1990,0,594102,148.0268,-34.6421,6166171,NA,NA,340
GW066392,30/03/1989,0,594102,148.0268,-34.6421,6166171,26.2,NA,340
GW066417,9/11/1990,0,594123,148.0273,-34.669,6163182,NA,NA,325
GW403705,19/08/2004,0,594190,148.0276,-34.6292,6167594,7,NA,NA
GW401630,12/03/2001,0,594313,148.0281,-34.5599,6175284,73.15,NA,NA
GW401660,26/08/1997,0,594245,148.0282,-34.6287,6167648,57.91,NA,0
GW401355,30/03/1989,0,594263,148.0285,-34.6397,6166434,26.21,NA,NA
GW400715,6/05/1998,0,594233,148.0286,-34.6722,6162828,76.2,NA,NA
GW403096,10/03/2005,6,594294,148.0287,-34.6298,6167531,28,NA,0
GW402822,18/03/2004,6,594284,148.0287,-34.6406,6166328,25,NA,0
GW402711,15/02/2004,6,594286,148.0288,-34.6404,6166358,26,NA,0
GW400842,29/01/1999,0,594331,148.0288,-34.6062,6170150,45.72,NA,NA
GW404077,27/08/2007,35,594235,148.0288,-34.6914,6160694,85,NA,NA
GW404727,4/05/2008,0,594352,148.0291,-34.6136,6169327,18,1.2,NA
GW400960,11/02/1999,0,594317,148.0293,-34.6548,6164752,33.52,NA,NA
GW402816,6/05/2004,6,594374,148.0296,-34.6354,6166903,28,NA,0
GW402803,28/04/2004,8,594429,148.0302,-34.6352,6166929,30,1.2,0
GW401098,24/12/1999,0,594513,148.0304,-34.5752,6173584,42.67,NA,NA
GW403458,25/02/2006,4,594487,148.0308,-34.632,6167285,30,NA,NA
GW403454,6/03/2006,5,594480,148.031,-34.6475,6165563,31,NA,NA
GW403230,15/05/2005,5,594507,148.0311,-34.6371,6166716,25,NA,0
GW401337,17/03/1991,0,594513,148.0311,-34.6336,6167109,23.16,NA,NA
GW403430,15/11/2005,0,594580,148.0319,-34.6388,6166529,12,NA,NA
GW403429,15/11/2005,0,594583,148.032,-34.6388,6166532,12,NA,NA
GW403431,15/11/2005,0,594584,148.032,-34.6388,6166526,12,NA,NA
GW403428,15/11/2005,0,594586,148.032,-34.6387,6166536,12,NA,NA
GW403432,15/11/2005,0,594588,148.032,-34.6388,6166522,12,NA,NA
GW403426,15/11/2005,0,594595,148.0321,-34.6388,6166530,12,NA,NA
GW403433,15/11/2005,0,594595,148.0321,-34.6389,6166514,12,NA,NA
GW400804,16/08/1998,0,594590,148.0321,-34.647,6165620,28.65,NA,NA
GW403434,15/11/2005,0,594602,148.0322,-34.639,6166508,12,NA,NA
GW403424,15/11/2005,0,594603,148.0322,-34.6386,6166548,12,NA,NA
GW403435,15/11/2005,0,594611,148.0323,-34.639,6166501,12,NA,NA
GW403427,15/11/2005,0,594613,148.0323,-34.6388,6166524,12,NA,NA
GW403436,15/11/2005,0,594619,148.0324,-34.639,6166509,12,NA,NA
GW409463,26/02/2009,5,594614,148.0324,-34.6439,6165957,28,1.69,NA
GW402678,9/03/2004,0,594619,148.0324,-34.642,6166177,24.38,NA,0
GW403425,15/11/2005,0,594633,148.0325,-34.6388,6166527,12,NA,NA
GW404584,1/01/1980,7,594639,148.0326,-34.6386,6166544,20,2.4,NA
GW031461,15/05/1969,0,594759,148.0332,-34.579,6173158,1.5,NA,NA
GW066425,12/02/1991,0,594708,148.0334,-34.6471,6165610,27,NA,340
GW401339,5/03/1991,0,594738,148.0338,-34.6468,6165634,23.46,NA,NA
GW403924,5/10/2006,5,594766,148.0339,-34.6321,6167267,33,1.25,NA
GW066414,7/12/1990,0,594755,148.034,-34.6504,6165240,NA,NA,340
GW403386,30/11/2005,4,594770,148.0341,-34.6443,6165916,30,NA,NA
GW066441,21/02/1992,0,594784,148.0343,-34.6471,6165609,24.4,NA,340
GW402645,17/02/2004,0,594815,148.0352,-34.6929,6160521,41.45,NA,0
GW402800,21/03/2004,5,594904,148.0355,-34.643,6166058,28,0.6,0
GW402069,24/03/2002,0,594907,148.0356,-34.6435,6166005,27.43,NA,0
GW401788,1/04/1998,10,594913,148.0367,-34.7311,6156284,19.5,NA,NA
GW403904,18/12/2006,4,595053,148.0374,-34.6599,6164184,25,NA,NA
GW404229,8/09/2007,7,595117,148.0379,-34.6449,6165848,32,1.5,NA
GW404228,7/08/2007,6,595142,148.0381,-34.6444,6165897,33,1.3,NA
GW403914,28/11/2006,4,595154,148.0382,-34.6353,6166912,25,0.6,NA
GW400546,31/03/1998,0,595261,148.0386,-34.5754,6173551,11.5,NA,NA
GW400547,3/04/1998,0,595262,148.0386,-34.5754,6173551,6.59,NA,NA
GW404214,18/09/2007,8,595192,148.0387,-34.6447,6165864,35,1.2,NA
GW403866,12/05/2007,7,595208,148.0389,-34.6441,6165933,35,140,NA
GW400411,24/09/1997,0,595260,148.0393,-34.6315,6167330,10.97,NA,NA
GW404240,20/08/2007,6,595266,148.0395,-34.6447,6165861,33,1.4,NA
GW005915,1/07/1935,0,595350,148.0395,-34.5748,6173614,42.4,NA,NA
GW400551,31/03/1998,0,595384,148.0398,-34.5696,6174190,4,NA,NA
GW402431,27/07/2003,0,595322,148.04,-34.6383,6166572,58.48,NA,0
GW409942,1/01/2009,16,595340,148.0403,-34.6432,6166037,35,1,NA
GW404219,4/08/2007,9,595372,148.0406,-34.6436,6165983,35,1.5,NA
GW403461,28/01/2006,4,595460,148.0415,-34.6321,6167257,23,NA,NA
GW400550,31/03/1998,0,595537,148.0415,-34.5693,6174223,17,NA,NA
GW400778,12/04/1998,20,595413,148.042,-34.7207,6157434,70,NA,NA
GW403906,15/11/2007,15,595523,148.0422,-34.6392,6166468,29,120,NA
GW400549,31/03/1998,0,595613,148.0423,-34.5671,6174463,13,NA,NA
GW401316,19/05/2000,8,595588,148.0429,-34.6375,6166659,42,NA,NA
GW401345,11/02/1991,0,595613,148.0432,-34.6386,6166534,32,NA,NA
GW066429,16/12/1991,0,595652,148.0437,-34.6448,6165847,73.2,NA,342
GW402605,11/11/2003,5,595732,148.044,-34.5961,6171250,51,NA,0
GW402714,2/02/2004,25,595840,148.0443,-34.5299,6178588,40,NA,0
GW400548,31/03/1998,0,595812,148.0445,-34.5701,6174131,15.5,NA,NA
GW404105,12/11/2007,0,595744,148.0449,-34.6623,6163911,30,NA,NA
GW403306,21/07/2005,21,595806,148.0454,-34.6449,6165840,76,NA,0
GW403915,18/06/2006,10,595803,148.0455,-34.6539,6164837,32,1.6,NA
GW068542,11/03/1991,0,595756,148.0459,-34.7258,6156863,35.1,NA,0
GW401627,7/02/2001,0,595913,148.0463,-34.6282,6167684,24.38,NA,NA
GW403918,20/11/2007,7,595987,148.0475,-34.6524,6165007,35,1.11,NA
GW401768,30/07/2001,0,596213,148.0496,-34.6255,6167984,28,NA,NA
GW066438,16/01/1992,0,596252,148.0504,-34.6543,6164793,25.6,NA,360
GW400564,2/04/1998,0,596533,148.0551,-34.7849,6150302,16.5,NA,NA
GW066369,7/05/1991,0,596362,148.0554,-34.9537,6131580,39.31,NA,380
GW401064,22/10/1999,0,596813,148.0562,-34.6345,6166984,41.75,NA,NA
GW400740,15/06/1998,0,596723,148.0568,-34.757,6153393,35.96,NA,NA
GW405081,24/05/2009,6,596888,148.0569,-34.6234,6168211,19,1.3,NA
GW400563,2/04/1998,0,596874,148.0588,-34.7819,6150629,14,NA,NA
GW400737,27/05/1998,0,597027,148.059,-34.6714,6162883,44.19,NA,NA
GW400562,2/04/1998,0,596960,148.0597,-34.7795,6150897,15.5,NA,NA
GW404475,8/01/2003,0,597119,148.0627,-34.8773,6140045,87,NA,NA
GW400184,13/01/1997,1,597607,148.064,-34.5621,6175007,32.7,NA,NA
GW400182,5/03/1997,0,597495,148.064,-34.6582,6164349,45.73,NA,NA
GW400185,17/03/1997,12,597709,148.0662,-34.6496,6165302,28.7,NA,NA
GW404213,8/01/2003,0,597656,148.068,-34.8362,6144600,91.44,NA,NA
GW400561,1/04/1998,0,597735,148.0687,-34.8234,6146023,14,NA,NA
GW400560,1/04/1998,0,597927,148.0708,-34.8241,6145945,14,NA,NA
GW404963,24/02/2009,7,598338,148.0726,-34.6135,6169294,62,1.00E+03,NA
GW400559,1/04/1998,0,598104,148.0728,-34.8243,6145911,8,NA,NA
GW400558,1/04/1998,0,598330,148.0752,-34.8189,6146517,6,NA,NA
GW401886,9/01/2002,3,598720,148.0765,-34.5957,6171267,80,NA,0
GW409453,23/08/2009,18,599248,148.0839,-34.7194,6157541,40,1.4,NA
GW402990,18/03/2005,7,599045,148.0844,-34.9215,6135125,47.24,NA,0
GW402455,23/07/2003,0,599493,148.0895,-34.9379,6133299,65.53,NA,0
GW402760,10/05/2001,5,599959,148.0908,-34.6524,6164965,128,187,0
GW404515,1/12/2002,0,599670,148.0911,-34.9169,6135625,NA,NA,NA
GW401330,28/05/2000,0,599987,148.094,-34.8749,6140284,64.61,NA,NA
GW001309,1/03/1924,0,601102,148.1054,-34.8107,6147396,24.4,NA,NA
GW405108,30/10/2009,6,601870,148.1137,-34.8029,6148249,20,NA,NA
GW402763,28/09/2004,6,602036,148.1178,-34.9746,6129200,15,NA,0
GW411255,12/05/2004,6,602811,148.1234,-34.7642,6152527,28,NA,NA
GW414319,21/12/2006,11,602965,148.1246,-34.727,6156657,43,870,NA
GW068861,6/12/1990,0,603180,148.1257,-34.6355,6166802,38.1,NA,0
GW401331,30/06/2000,0,603012,148.1272,-34.8796,6139734,21.82,NA,NA
GW401889,20/08/2001,0,603698,148.1312,-34.625,6167964,79.24,NA,0
GW403920,26/01/2007,33,603391,148.1316,-34.8961,6137893,153,NA,NA
GW400554,1/04/1998,0,604595,148.1426,-34.7428,6154889,5,NA,NA
GW400556,1/04/1998,0,604643,148.1432,-34.7441,6154741,0.5,NA,NA
GW400557,1/04/1998,0,604786,148.1448,-34.7455,6154586,6.5,NA,NA
GW400552,1/04/1998,0,604835,148.1453,-34.7435,6154803,8,NA,NA
GW400555,1/04/1998,0,604940,148.1464,-34.7403,6155155,10.5,NA,NA
GW401858,26/03/2002,0,605141,148.1491,-34.7795,6150802,85.34,NA,0
GW403155,21/09/2004,4,606397,148.1649,-34.9258,6134569,80,NA,0
GW414348,01/01/1880,15,606456,148.1655,-34.9239,6134778,20,NA,NA
GW405121,23/02/2009,6,606455,148.1655,-34.9264,6134500,40,NA,NA
GW405063,1/09/2006,18,606547,148.1668,-34.9438,6132570,25,NA,NA
GW056802,1/02/1983,6,606592,148.1673,-34.9468,6132237,12,NA,NA
GW401866,14/03/2002,0,607122,148.1734,-34.9671,6129974,36.17,NA,0
GW400415,19/08/1997,0,607313,148.1745,-34.8993,6137497,42.67,NA,NA
GW404058,18/08/2004,9,607546,148.1774,-34.9219,6134990,90,NA,NA
GW402900,14/09/2004,24,611690,148.2223,-34.887,6138803,128,NA,0
