"Work.No","Measurement.date.x","Standing_Water_level..m..x","Easting.x","Longitude.x","Latitude.x","Northing.x","Measurement.date.y","Standing_Water_level..m..y","Easting.y","Longitude.y","Latitude.y","Northing.y","Drilled_De","Salinity","Elevation"
"GW014595","26/03/1981",5.49,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","26/02/1980",5.18,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","25/11/1987",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","25/05/1982",4.42,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","24/03/1987",0.75,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","23/07/1982",4.54,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","22/09/1980",5.3,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","21/12/1977",4.52,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","29/01/1982",3.94,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","14/12/1982",4.93,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","8/07/1980",5.34,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","6/11/1979",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","6/08/1979",4.57,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","5/10/1978",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","5/05/1978",0,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","4/10/1985",1.4,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
"GW014595","4/04/1979",4.25,"598,939",148.0804,-34.7068,"6,158,942",NA,NA,NA,NA,NA,NA,NA,NA,NA
