Work No,Measurement date,Standing_Water_level (m),Easting,Longitude,Latitude,Northing
GW014595,13/10/1981,2.56,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,13/08/1981,2.23,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,13/05/1974,6.5,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,13/02/1975,1.69,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,10/08/1978,5.12,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,9/05/1985,0,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,14/03/1978,5.03,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,9/12/1974,1.25,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,11/08/1983,3.07,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,11/11/1980,5.41,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,12/03/1974,7.45,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,12/04/1983,0,"598,939",148.0804,-34.7068,"6,158,942"
GW014595,12/07/1978,0,"598,939",148.0804,-34.7068,"6,158,942"
GW014742,1/11/1987,5.4,"603,490",148.1323,-34.8715,"6,140,622"
GW020020,1/11/1987,7.8,"599,025",148.0798,-34.5915,"6,171,727"
GW020020,15/01/1999,3.9,"599,025",148.0798,-34.5915,"6,171,727"
GW020020,8/07/1998,1.8,"599,025",148.0798,-34.5915,"6,171,727"
GW020020,3/04/2001,0,"599,025",148.0798,-34.5915,"6,171,727"
GW020081,16/10/1979,6.41,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,19/06/1978,0,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,19/03/1991,3.11,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,19/05/1980,6.75,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,19/02/1985,3.67,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,19/05/1983,6.6,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,19/02/1981,6.74,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,18/10/1983,0,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,18/02/1983,6.54,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,17/09/1979,6.38,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,17/01/1980,6.65,"599,709",148.0887,-34.7009,"6,159,581"
GW020081,19/03/1982,6.29,"599,709",148.0887,-34.7009,"6,159,581"
