FID,Work_No,Measuremen,Standing_W,Easting,Longitude,Latitude,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Yield Description,Drilled Depth,Salinity
0,GW007110,1996-11-01,0,587955,147.959499999999,-34.6296,6167618,388,0.393044,8.95891,3,9,NA,20.7,NA
1,GW007115,1996-11-01,0,585984,147.938199999999,-34.6392999999999,6166558,409,1.83784,6.5029502,3,9,NA,30.8,NA
2,GW007530,1998-07-08,2.2,598029,148.0687,-34.5718,6173924,419,2.54354,5.6463599,2,7,NA,19.8,NA
3,GW007531,2004-04-20,2.75,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
4,GW007531,2002-03-20,1.56,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
5,GW007531,2003-10-28,1.34,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
6,GW007531,2006-10-24,2.58,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
7,GW007531,2001-10-23,0.8,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
8,GW007531,2001-04-03,1.03,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
9,GW007531,2002-10-16,1.05,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
10,GW007531,2004-10-20,1.9,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
11,GW007531,2003-04-15,13.1999999999999,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
12,GW007531,2005-04-12,2.97,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
13,GW007531,2006-04-11,2.62,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
14,GW007531,2005-10-18,1.3,598793,148.0773,-34.5936999999999,6171483,395,3.18401,5.7307901,2,7,NA,33.2,NA
15,GW011826,1996-11-25,2,587862,147.9618,-34.9087,6136657,482,1.66509,6.9900999,3,35,NA,0,NA
16,GW014595,1983-05-19,3.63,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
17,GW014595,1979-02-16,3.97,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
18,GW014595,1983-02-18,5.18,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
19,GW014595,1982-03-19,4.27,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
20,GW014595,1985-02-19,1.1,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
21,GW014595,1981-02-19,5.29,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
22,GW014595,1983-10-18,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
23,GW014595,1980-05-19,5.37,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
24,GW014595,1979-09-17,4.67,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
25,GW014595,1981-06-17,5.65,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
26,GW014595,1980-01-17,5.02,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
27,GW014595,1978-06-19,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
28,GW014595,1979-07-16,4.58,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,GW014595,1984-04-24,0.74,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
30,GW014595,1978-02-16,4.83,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
31,GW014595,1984-10-15,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
32,GW014595,1981-09-15,2.24,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
33,GW014595,1974-02-15,7.41,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
34,GW014595,1979-10-16,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
35,GW014595,1981-05-27,5.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
36,GW014595,1981-01-13,4.99,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
37,GW014595,1999-01-15,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
38,GW014595,1974-10-31,0.47,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
39,GW014595,1989-08-29,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
40,GW014595,1980-08-29,5.24,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
41,GW014595,1982-06-29,4.51,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
42,GW014595,1984-05-29,0.87,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
43,GW014595,1984-07-23,0.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
44,GW014595,1982-09-28,4.63,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
45,GW014595,1982-04-20,4.28,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
46,GW014595,1981-03-26,5.49,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
47,GW014595,1980-02-26,5.18,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
48,GW014595,1987-11-25,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
49,GW014595,1982-05-25,4.42,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
50,GW014595,1987-03-24,0.75,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
51,GW014595,1982-07-23,4.54,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
52,GW014595,1980-09-22,5.3,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
53,GW014595,1977-12-21,4.52,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
54,GW014595,1982-01-29,3.94,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
55,GW014595,1982-12-14,4.93,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
56,GW014595,1980-07-08,5.34,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
57,GW014595,1979-11-06,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
58,GW014595,1979-08-06,4.57,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
59,GW014595,1978-10-05,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
60,GW014595,1978-05-05,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
61,GW014595,1985-10-04,1.4,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
62,GW014595,1979-04-04,4.25,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
63,GW014595,1978-11-08,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
64,GW014595,1979-12-03,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
65,GW014595,1975-01-03,1.77,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
66,GW014595,1980-12-02,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
67,GW014595,1978-04-13,5.13,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
68,GW014595,1981-12-01,3.31,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
69,GW014595,1978-12-01,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
70,GW014595,1982-11-01,4.77,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
71,GW014595,1982-09-01,4.61,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
72,GW014595,1979-06-01,4.46,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
73,GW014595,1979-05-01,4.35,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
74,GW014595,1979-01-04,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
75,GW014595,1987-08-13,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
76,GW014595,1985-08-02,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
77,GW014595,1984-01-09,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
78,GW014595,1978-09-14,1.6,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
79,GW014595,1980-04-14,5.31,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
80,GW014595,1981-10-13,2.56,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
81,GW014595,1981-08-13,2.23,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
82,GW014595,1974-05-13,6.5,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
83,GW014595,1975-02-13,1.69,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
84,GW014595,1978-08-10,5.12,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
85,GW014595,1985-05-09,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
86,GW014595,1978-03-14,5.03,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
87,GW014595,1974-12-09,1.25,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
88,GW014595,1983-08-11,3.07,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
89,GW014595,1980-11-11,5.41,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
90,GW014595,1974-03-12,7.45,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
91,GW014595,1983-04-12,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
92,GW014595,1978-07-12,0,598939,148.0804,-34.7068,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
93,GW014742,1987-11-01,5.4,603490,148.132299999999,-34.8714999999999,6140622,280,3.9421599,5.4379001,2,3,NA,36.6,NA
94,GW020020,1987-11-01,7.8,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,7,NA,0,NA
95,GW020020,1999-01-15,3.9,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,7,NA,0,NA
96,GW020020,1998-07-08,1.8,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,7,NA,0,NA
97,GW020020,2001-04-03,0,599025,148.0798,-34.5915,6171727,393,1.13828,7.9900498,3,7,NA,0,NA
98,GW020081,1979-10-16,6.41,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
99,GW020081,1978-06-19,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
100,GW020081,1991-03-19,3.11,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
101,GW020081,1980-05-19,6.75,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
102,GW020081,1985-02-19,3.67,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
103,GW020081,1983-05-19,6.6,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
104,GW020081,1981-02-19,6.74,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
105,GW020081,1983-10-18,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
106,GW020081,1983-02-18,6.54,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
107,GW020081,1979-09-17,6.38,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
108,GW020081,1980-01-17,6.65,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
109,GW020081,1982-03-19,6.29,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
110,GW020081,1975-10-16,7.11,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
111,GW020081,1975-09-16,7.2,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
112,GW020081,1989-08-16,1.32,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
113,GW020081,1979-07-16,6.37,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
114,GW020081,1979-02-16,6.33,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
115,GW020081,1978-02-16,6.59,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
116,GW020081,1984-10-15,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
117,GW020081,1974-02-15,10.1099999999999,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
118,GW020081,1988-07-19,3.24,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
119,GW020081,1980-08-29,6.62,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
120,GW020081,1999-01-15,3.1,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
121,GW020081,1982-12-14,6.37,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
122,GW020081,1981-09-15,6.34,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
123,GW020081,1980-02-26,6.74,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
124,GW020081,1990-10-16,1.67,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
125,GW020081,1978-09-14,6.58,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
126,GW020081,1988-11-30,3.3,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
127,GW020081,1991-05-30,3,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
128,GW020081,1982-06-29,6.21,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
129,GW020081,1982-01-29,6.2,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
130,GW020081,1990-12-28,2.48,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
131,GW020081,1982-09-28,6.23,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
132,GW020081,1988-04-28,3.59,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
133,GW020081,1981-05-27,6.83,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
134,GW020081,1984-05-29,4.61,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
135,GW020081,1981-03-26,6.82,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
136,GW020081,1982-04-20,6.22,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
137,GW020081,1987-11-25,2.57,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
138,GW020081,1974-06-25,9.3,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
139,GW020081,1982-05-25,6.21,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
140,GW020081,1984-04-24,4.65,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
141,GW020081,1987-03-24,2.73,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
142,GW020081,1984-07-23,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
143,GW020081,1982-07-23,6.18,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
144,GW020081,1980-09-22,6.62,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
145,GW020081,1977-12-21,6.4,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
146,GW020081,1989-06-21,1.17,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
147,GW020081,1975-05-21,7.53,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
148,GW020081,1990-05-26,2.57,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
149,GW020081,1975-08-14,7.47,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
150,GW020081,1984-01-09,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
151,GW020081,1978-11-08,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
152,GW020081,1974-08-08,8.9,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
153,GW020081,1980-07-08,6.65,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
154,GW020081,1988-03-07,3.35,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
155,GW020081,1976-01-07,6.98,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
156,GW020081,1979-11-06,6.46,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
157,GW020081,1979-08-06,6.33,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
158,GW020081,1978-10-05,6.45,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
159,GW020081,1978-05-05,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
160,GW020081,1990-03-09,2.8,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
161,GW020081,1979-04-04,6.41,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
162,GW020081,1989-05-04,1.38,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
163,GW020081,1979-01-04,6.23,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
164,GW020081,1979-12-03,6.54,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
165,GW020081,1990-08-03,1.42,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
166,GW020081,1975-01-03,8.17,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
167,GW020081,1980-12-02,6.72,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
168,GW020081,1985-08-02,3.58,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
169,GW020081,1981-12-01,6.07,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
170,GW020081,1978-12-01,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
171,GW020081,1982-11-01,6.28,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
172,GW020081,1982-09-01,6.21,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
173,GW020081,1979-06-01,6.39,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
174,GW020081,1985-10-04,3.41,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
175,GW020081,1975-02-13,7.7,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
176,GW020081,1977-02-04,6.4,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
177,GW020081,1975-04-09,7.66,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
178,GW020081,1978-03-14,6.7,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
179,GW020081,1981-10-13,6.19,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
180,GW020081,1988-09-13,2.92,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
181,GW020081,1987-08-13,2.1,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
182,GW020081,1981-08-13,6.55,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
183,GW020081,1978-04-13,6.73,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
184,GW020081,1980-04-14,6.75,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
185,GW020081,1981-01-13,6.75,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
186,GW020081,1978-07-12,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
187,GW020081,1983-04-12,6.56,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
188,GW020081,1974-12-09,7.9,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
189,GW020081,1985-05-09,0,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
190,GW020081,1974-05-13,9.9,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
191,GW020081,1975-06-09,7.5,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
192,GW020081,1979-05-01,6.38,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
193,GW020081,1978-08-10,6.63,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
194,GW020081,1989-10-10,1.67,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
195,GW020081,1974-07-11,9.19999999999999,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
196,GW020081,1980-11-11,6.68,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
197,GW020081,1989-12-11,2.27,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
198,GW020081,1981-06-17,6.84,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
199,GW020081,1974-03-12,10.1999999999999,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
200,GW020081,1983-08-11,6.13,599709,148.088699999999,-34.7008999999999,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
201,GW020352,1985-02-19,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
202,GW020352,1981-09-15,4.65,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
203,GW020352,1983-10-18,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
204,GW020352,1983-02-18,6.15,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
205,GW020352,1979-09-17,5.62,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
206,GW020352,1981-06-17,6.6,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
207,GW020352,1980-01-17,5.92,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
208,GW020352,1979-10-16,5.7,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
209,GW020352,1981-02-19,6.38,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
210,GW020352,1975-10-16,4.5,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
211,GW020352,1975-09-16,4.4,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
212,GW020352,1979-07-16,5.64,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
213,GW020352,1982-12-14,6.05,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
214,GW020352,1978-02-16,5.89,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
215,GW020352,1974-02-15,8.9,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
216,GW020352,1999-01-15,0,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
217,GW020352,1982-03-19,5.51,599045,148.0815,-34.7029,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
