cells,Latitude,Longitude,Date.x,Rainfall,MDate,FID,Work_No,Date.y,Standing_W,Easting,Northing,Elevation..m.,Slope..degree.,Wetness.index,MRVBF,Lithology,Yield Description,Drilled Depth,Salinity
29,-34.7029,148.0815,1974-07-16,99.59999999999991,1974-07-01,271,GW020352,1974-07-11,7.65,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1974-08-16,72.79999999999973,1974-08-01,152,GW020081,1974-08-08,8.9,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1974-08-16,72.79999999999973,1974-08-01,267,GW020352,1974-08-08,6.95,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7068,148.0804,1974-10-16,187.79999999999973,1974-10-01,38,GW014595,1974-10-31,0.47,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7068,148.0804,1974-12-16,5.199999999999818,1974-12-01,87,GW014595,1974-12-09,1.25,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1974-12-16,5.199999999999818,1974-12-01,188,GW020081,1974-12-09,7.9,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7068,148.0804,1975-01-16,36.399999999999636,1975-01-01,65,GW014595,1975-01-03,1.77,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1975-01-16,36.399999999999636,1975-01-01,166,GW020081,1975-01-03,8.17,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7068,148.0804,1975-02-15,45.09999999999991,1975-02-01,83,GW014595,1975-02-13,1.69,598939,6158942,320,0.739595,7.92557,4,1,NA,13.1,NA
29,-34.7008999999999,148.088699999999,1975-02-15,45.09999999999991,1975-02-01,175,GW020081,1975-02-13,7.7,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1975-02-15,45.09999999999991,1975-02-01,277,GW020352,1975-02-13,4.35,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1975-04-16,21.5,1975-04-01,177,GW020081,1975-04-09,7.66,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
29,-34.7029,148.0815,1975-04-16,21.5,1975-04-01,275,GW020352,1975-04-09,4.55,599045,6159372,321,0.654672,8.2234802,3,1,NA,0,NA
29,-34.7008999999999,148.088699999999,1975-05-16,23.399999999999636,1975-05-01,147,GW020081,1975-05-21,7.53,599709,6159581,325,0.327336,9.6672802,4,1,NA,0,NA
